User_Id,Age,Gender,City,Device_Type,Avg_Session_Time,Pages_Visited,Course_Category,Subscription_Type,Last_Activity_Days,Email_Click_Rate,Previous_Purchases,Support_Tickets,Satisfaction_Score,Churn
1,56,Other,Mumbai,Tablet,22.94,8,Business,Basic,53,0.98,8,4,5,0
2,46,Male,Mumbai,Desktop,17.95,10,Data Science,Free,27,0.02,9,4,1,0
3,32,Male,Hyderabad,Tablet,2.56,1,Web Dev,Premium,36,0.09,0,4,3,0
4,25,Female,Bangalore,Mobile,26.81,5,Design,Premium,19,0.5,3,2,3,0
5,38,Female,Bangalore,Tablet,9.86,15,Web Dev,Free,34,0.34,8,1,3,1
6,56,Other,Chennai,Desktop,5,8,Web Dev,Basic,53,0.78,3,1,5,0
7,36,Male,Chennai,Mobile,3.55,10,Business,Free,6,0.65,9,1,1,0
8,40,Female,Mumbai,Desktop,21.89,6,Data Science,Free,33,0.07,0,3,1,1
9,28,Other,Bangalore,Mobile,21.42,15,Design,Basic,5,0.54,4,0,4,0
10,28,Other,Hyderabad,Mobile,21.3,15,Design,Premium,18,0.34,5,1,4,1
11,41,Other,Delhi,Tablet,27.56,10,Design,Free,41,0.97,0,2,5,0
12,53,Female,Hyderabad,Tablet,11.12,19,Data Science,Basic,7,0.48,7,2,4,0
13,57,Female,Chennai,Mobile,17.27,4,Design,Premium,47,0.93,0,0,4,1
14,41,Male,Hyderabad,Tablet,18.97,6,Design,Free,29,0.03,5,3,3,0
15,20,Male,Bangalore,Tablet,29.4,15,AI/ML,Free,1,0.1,8,2,4,0
16,39,Other,Mumbai,Desktop,10.06,6,AI/ML,Premium,15,0.39,2,0,4,0
17,19,Other,Delhi,Tablet,28.73,18,Design,Free,52,0.89,4,2,4,1
18,41,Female,Mumbai,Mobile,5.31,11,Web Dev,Free,45,0.54,0,0,5,0
19,47,Female,Delhi,Tablet,23.16,12,Data Science,Basic,23,0.82,0,2,4,1
20,55,Male,Delhi,Mobile,19.35,8,Web Dev,Free,24,0.28,1,3,2,0
21,19,Male,Bangalore,Mobile,24.69,14,Web Dev,Free,12,0.11,5,3,2,0
22,38,Male,Bangalore,Desktop,1.83,4,Data Science,Basic,54,0.25,6,2,4,0
23,50,Female,Chennai,Mobile,3.27,18,Data Science,Basic,8,0.65,4,2,2,1
24,29,Other,Chennai,Mobile,3.02,6,Business,Premium,29,0.87,0,4,3,0
25,39,Male,Delhi,Desktop,18.2,6,Business,Premium,8,0.45,0,1,5,0
26,42,Male,Chennai,Mobile,18.49,19,Business,Premium,39,0.19,0,3,4,0
27,44,Female,Bangalore,Desktop,27.28,2,Design,Basic,6,0.64,2,2,2,0
28,59,Male,Chennai,Mobile,14.56,4,Design,Free,15,0.2,3,1,3,1
29,45,Other,Delhi,Tablet,2.97,5,Design,Free,37,0.57,7,2,3,0
30,33,Female,Mumbai,Desktop,7.08,15,Business,Free,31,0.1,8,1,4,0
31,32,Male,Hyderabad,Desktop,1.23,3,Data Science,Free,59,0.81,4,1,3,1
32,20,Male,Chennai,Mobile,23.52,16,Design,Basic,28,0.81,3,3,3,0
33,54,Female,Bangalore,Desktop,24.65,13,Data Science,Premium,42,0.54,9,4,4,1
34,24,Female,Mumbai,Mobile,29.94,12,Business,Premium,50,0.04,8,0,2,0
35,38,Male,Bangalore,Desktop,12.95,9,Data Science,Premium,39,0.28,5,2,1,0
36,26,Other,Chennai,Desktop,1.56,11,Design,Basic,50,0.14,2,1,5,0
37,56,Female,Delhi,Tablet,7.81,8,Data Science,Premium,14,0.52,6,4,4,1
38,35,Other,Hyderabad,Mobile,18.05,7,Business,Basic,10,0.1,8,1,2,0
39,21,Male,Hyderabad,Tablet,28.9,4,Design,Free,8,0.87,9,2,3,0
40,42,Other,Mumbai,Desktop,4,2,Design,Basic,15,0.85,1,0,1,1
41,31,Male,Hyderabad,Mobile,4.53,19,Business,Basic,24,0.16,8,3,3,0
42,26,Male,Delhi,Tablet,21.35,12,Web Dev,Premium,31,0.69,1,0,1,1
43,43,Male,Bangalore,Desktop,20.35,3,AI/ML,Free,44,0.7,4,3,1,0
44,19,Male,Delhi,Tablet,8.26,19,Business,Basic,9,0.4,0,1,2,0
45,37,Other,Mumbai,Desktop,24.58,3,Data Science,Basic,9,0.15,1,4,4,0
46,45,Male,Mumbai,Desktop,4.73,19,Web Dev,Basic,29,0.13,6,3,2,0
47,24,Male,Hyderabad,Mobile,27.85,19,Business,Basic,56,0.74,3,1,4,0
48,25,Other,Delhi,Mobile,6.83,7,AI/ML,Premium,19,0.22,6,2,2,0
49,52,Female,Bangalore,Mobile,3.36,14,Design,Premium,40,0.6,3,2,1,0
50,31,Other,Delhi,Desktop,10.85,4,AI/ML,Premium,59,0.87,0,4,2,0
51,34,Other,Bangalore,Tablet,6.45,6,AI/ML,Free,33,0.59,5,4,5,0
52,53,Other,Bangalore,Mobile,16.28,14,Business,Premium,0,0.97,8,2,4,1
53,57,Male,Delhi,Mobile,20.92,8,Design,Basic,31,0.65,5,2,4,0
54,21,Male,Chennai,Mobile,15.24,18,Design,Basic,39,0.31,6,3,2,0
55,19,Male,Delhi,Mobile,20.16,15,AI/ML,Free,30,0.85,6,4,1,1
56,23,Female,Bangalore,Desktop,11.58,19,Business,Free,47,0.31,0,2,1,0
57,59,Male,Mumbai,Tablet,1.81,18,Design,Basic,53,0.97,1,3,3,1
58,21,Female,Mumbai,Desktop,29.25,15,Design,Premium,10,0.48,0,1,2,0
59,46,Male,Hyderabad,Desktop,24.76,12,Data Science,Premium,57,0.95,0,4,3,0
60,35,Other,Mumbai,Desktop,3.13,18,AI/ML,Basic,40,0.18,7,4,1,0
61,43,Male,Chennai,Mobile,14.03,5,Web Dev,Free,56,0.01,3,2,3,0
62,51,Female,Bangalore,Tablet,19.42,15,AI/ML,Basic,18,0.2,9,2,4,0
63,27,Female,Delhi,Desktop,6.53,9,Business,Free,49,0.1,7,2,4,1
64,53,Male,Delhi,Desktop,17.76,8,Design,Premium,6,0.73,4,2,5,0
65,31,Other,Chennai,Desktop,16.48,8,Design,Premium,52,0.26,0,0,4,0
66,48,Male,Mumbai,Mobile,7.04,3,Data Science,Basic,28,0.64,8,2,5,1
67,32,Male,Bangalore,Mobile,5.1,13,Design,Premium,41,0.67,2,1,1,1
68,25,Male,Mumbai,Desktop,23.01,13,Design,Basic,37,0.69,6,2,5,0
69,31,Other,Hyderabad,Mobile,10.36,12,Web Dev,Basic,52,0.83,6,2,2,1
